ID,NombreEmpleado,Departamento,Cargo,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,Año,Notas,Oficina,TipoContrato,Sexo
32163,Fernando Alberto Martinez Rojas,Marketing,Brand Manager,2179,193,174,973,2546,3519,2025,,Oficinas Administrativas,Part-Time,masculino
32164,Carlos Mario Ortega Torres,Logistica,Planificador de Demanda,1266,1178,507,918,2951,3869,2025,,Planta Industrial (Matriz),Full-Time,masculino
32165,Carmen Maria Castro Delgado,Comercial / Ventas,Preventista (BEES),4385,538,361,1230,5284,6514,2025,,Centros de Distribucion,Full-Time,femenino
32166,Maria Patricia Castro Sanchez,Comercial / Ventas,Preventista (BEES),3371,1251,701,1190,5323,6513,2025,,Oficina Regional,Part-Time,femenino
32167,Miguel Sergio Gonzalez Suarez,Logistica,Gestor de Flota,4727,905,616,1350,6248,7598,2025,,Oficinas Administrativas,Part-Time,masculino
32168,Sofia Rosa Castro Ramirez,Operaciones (Supply),Operador de Envasado,1838,492,857,1216,3187,4403,2025,,Planta Industrial,Part-Time,femenino
32169,Laura Andrea Suarez Gonzalez,Marketing,Trade Marketing,4193,785,540,606,5518,6124,2025,,Oficina Regional,Full-Time,femenino
32170,Andres Juan Torres Castro,Operaciones (Supply),Operador de Envasado,1976,448,45,814,2469,3283,2025,,Oficina Regional,Full-Time,masculino
32171,Monica Carmen Perez Morales,Tecnologia (Tech),Analista de Datos,3003,161,859,,4023,4023,2025,,Planta Industrial,Part-Time,femenino
32172,Ricardo Juan Rojas Herrera,Finanzas,Controller Financiero,3374,377,94,1279,3845,5124,2025,,Planta Industrial,Full-Time,masculino
32173,Luis Diego Vargas Sanchez,Tecnologia (Tech),Analista de Datos,4880,,757,1430,5637,7067,2025,,Oficina Regional,Full-Time,masculino
32174,Rosa Daniela Suarez Ortega,Finanzas,Controller Financiero,883,131,654,1207,1668,2875,2025,,Planta Industrial,Part-Time,femenino
32175,Silvia Laura Garcia Castro,Sostenibilidad,Coordinador de Agro,3619,740,304,929,4663,5592,2025,,Oficinas Administrativas,Part-Time,femenino
32176,Raul Eduardo Sanchez Perez,Operaciones (Supply),Maestro Cervecero,3203,1090,281,207,4574,4781,2025,,Oficina Regional,,masculino
32177,Pedro Sergio Herrera Martinez,People (RRHH),Reclutador (Trainee),4642,330,327,,5299,5299,2025,,Planta Industrial,Full-Time,masculino
32178,Carlos Luis Ramirez Gonzalez,Operaciones (Supply),Analista de Calidad,2644,889,478,1067,4011,5078,2025,,Planta Industrial,Full-Time,masculino
32179,Andres Ricardo Sanchez Castro,Marketing,Brand Manager,2980,1317,598,1200,4895,6095,2025,,Oficina Regional,Part-Time,masculino
32180,Ricardo Carlos Rodriguez Martinez,Operaciones (Supply),Analista de Calidad,4095,1422,327,713,5844,6557,2025,,Oficina Regional,Full-Time,masculino
32181,Fernando Sergio Ortega Delgado,Comercial / Ventas,Key Account Manager,1062,282,984,797,2328,3125,2025,,Centros de Distribucion,,masculino
32182,Patricia Sofia Castro Morales,Operaciones (Supply),Maestro Cervecero,4734,319,787,1313,5840,7153,2025,,Oficina Regional,Part-Time,femenino
32183,Monica Daniela Gonzalez Morales,People (RRHH),Business Partner,2803,194,428,923,3425,4348,2025,,Oficinas Administrativas,,femenino
32184,Elena Camila Ramirez Perez,People (RRHH),Business Partner,4521,260,307,1424,5088,6512,2025,,Oficinas Administrativas,Part-Time,femenino
32185,Ana Monica Rodriguez Ortega,People (RRHH),Business Partner,1108,353,186,937,1647,2584,2025,,Oficina Regional,Part-Time,femenino
32186,Paula Carmen Morales Perez,Operaciones (Supply),Analista de Calidad,3100,1003,448,870,4551,5421,2025,,Oficina Regional,Part-Time,femenino
32187,Elena Patricia Mendoza Lopez,Comercial / Ventas,Key Account Manager,4293,449,58,1499,4800,6299,2025,,Oficina Regional,Part-Time,femenino
32188,Monica Maria Herrera Diaz,Tecnologia (Tech),Analista de Datos,3516,520,147,1498,4183,5681,2025,,Oficinas Administrativas,Part-Time,femenino
32189,Natalia Gabriela Rodriguez Suarez,Marketing,Brand Manager,3008,1103,128,858,4239,5097,2025,,Planta Industrial (Matriz),,femenino
32190,Gabriela Silvia Martinez Mendoza,Operaciones (Supply),Analista de Calidad,3800,207,871,,4878,4878,2025,,Oficina Regional,Part-Time,femenino
32191,Natalia Veronica Perez Delgado,Tecnologia (Tech),Analista de Datos,2106,,857,1002,2963,3965,2025,,Planta Industrial,Part-Time,femenino
32192,Lucia Ana Garcia Suarez,Marketing,Trade Marketing,2363,364,828,1487,3555,5042,2025,,Centros de Distribucion,Part-Time,femenino
32193,Laura Natalia Sanchez Vargas,Marketing,Trade Marketing,1890,619,144,1093,2653,3746,2025,,Planta Industrial (Matriz),Full-Time,femenino
32194,Sergio Fernando Lopez Rojas,People (RRHH),Reclutador (Trainee),2426,1012,401,,3839,3839,2025,,Planta Industrial (Matriz),Full-Time,masculino
32195,Jose Eduardo Martinez Lopez,Marketing,Trade Marketing,2854,1439,69,1351,4362,5713,2025,,Oficinas Administrativas,Part-Time,masculino
32196,Rosa Carmen Rojas Diaz,Operaciones (Supply),Maestro Cervecero,3285,1275,919,806,5479,6285,2025,,Oficinas Administrativas,Part-Time,femenino
32197,Patricia Lucia Delgado Lopez,Tecnologia (Tech),Analista de Datos,2658,1380,308,819,4346,5165,2025,,Oficinas Administrativas,Full-Time,femenino
32198,Diego Jose Rodriguez Lopez,Finanzas,Controller Financiero,1396,812,334,206,2542,2748,2025,,Oficina Regional,Part-Time,masculino
32199,Patricia Valentina Sanchez Delgado,People (RRHH),Business Partner,1101,997,728,1429,2826,4255,2025,,Oficina Regional,Full-Time,femenino
32200,Diego Jorge Flores Flores,People (RRHH),Reclutador (Trainee),3481,1433,529,467,5443,5910,2025,,Planta Industrial,Part-Time,masculino
32201,Jose Rafael Vargas Martinez,Finanzas,Controller Financiero,1913,215,82,327,2210,2537,2025,,Oficinas Administrativas,Full-Time,masculino
32202,Rafael Diego Flores Castro,Operaciones (Supply),Maestro Cervecero,3361,867,204,958,4432,5390,2025,,Planta Industrial (Matriz),,masculino
32203,Sergio Carlos Martinez Rojas,Comercial / Ventas,Preventista (BEES),4154,796,22,869,4972,5841,2025,,Planta Industrial (Matriz),Full-Time,masculino
32204,Elena Patricia Ramirez Delgado,Marketing,Trade Marketing,2967,1365,505,1336,4837,6173,2025,,Planta Industrial (Matriz),Full-Time,femenino
32205,Claudia Claudia Rojas Diaz,Logistica,Planificador de Demanda,4595,383,303,359,5281,5640,2025,,Oficinas Administrativas,,femenino
32206,Veronica Sofia Suarez Torres,Logistica,Planificador de Demanda,4943,507,518,323,5968,6291,2025,,Oficina Regional,Part-Time,femenino
32207,Alberto Ricardo Mendoza Diaz,Logistica,Planificador de Demanda,3738,459,809,1441,5006,6447,2025,,Oficina Regional,Part-Time,masculino
32208,Daniela Silvia Garcia Mendoza,Marketing,Brand Manager,1346,683,513,674,2542,3216,2025,,Centros de Distribucion,Part-Time,femenino
32209,Laura Rosa Perez Sanchez,People (RRHH),Business Partner,2251,412,460,872,3123,3995,2025,,Planta Industrial,Full-Time,femenino
32210,Silvia Andrea Morales Ortega,Tecnologia (Tech),Analista de Datos,1495,841,311,1355,2647,4002,2025,,Oficinas Administrativas,Full-Time,femenino
32211,Ana Valentina Lopez Castro,Finanzas,Controller Financiero,4911,146,348,997,5405,6402,2025,,Planta Industrial,Part-Time,femenino
32212,Andres Jorge Diaz Perez,Comercial / Ventas,Preventista (BEES),3023,276,760,216,4059,4275,2025,,Oficinas Administrativas,Full-Time,masculino
32213,Ana Daniela Morales Gonzalez,People (RRHH),Business Partner,2884,205,325,833,3414,4247,2025,,Planta Industrial,Full-Time,femenino
32214,Laura Veronica Delgado Martinez,People (RRHH),Business Partner,3360,962,809,889,5131,6020,2025,,Planta Industrial,,femenino
32215,Hugo Jose Rojas Vargas,People (RRHH),Business Partner,1583,1458,185,1269,3226,4495,2025,,Planta Industrial (Matriz),Full-Time,masculino
32216,Valentina Lucia Vargas Morales,Logistica,Planificador de Demanda,3502,1419,901,683,5822,6505,2025,,Planta Industrial (Matriz),Full-Time,femenino
32217,Andres Ricardo Diaz Perez,Tecnologia (Tech),Analista de Datos,3882,1460,601,320,5943,6263,2025,,Planta Industrial (Matriz),Full-Time,masculino
32218,Hugo Carlos Ortega Suarez,Marketing,Brand Manager,817,602,749,1079,2168,3247,2025,,Planta Industrial (Matriz),Part-Time,masculino
32219,Daniela Natalia Diaz Torres,Marketing,Brand Manager,4338,420,974,1366,5732,7098,2025,,Oficina Regional,Full-Time,femenino
32220,Fernando Alberto Rodriguez Gonzalez,Sostenibilidad,Coordinador de Agro,3954,,774,296,4728,5024,2025,,Planta Industrial (Matriz),Part-Time,masculino
32221,Natalia Sofia Martinez Lopez,Operaciones (Supply),Operador de Envasado,4721,609,976,642,6306,6948,2025,,Centros de Distribucion,Full-Time,femenino
32222,Ricardo Jose Ramirez Diaz,Logistica,Gestor de Flota,2204,106,493,1276,2803,4079,2025,,Oficinas Administrativas,Full-Time,masculino
32223,Victor Andres Mendoza Mendoza,Operaciones (Supply),Maestro Cervecero,2961,1417,271,,4649,4649,2025,,Oficina Regional,Full-Time,masculino
32224,Gabriela Silvia Vargas Herrera,People (RRHH),Business Partner,1060,775,248,728,2083,2811,2025,,Oficinas Administrativas,Part-Time,femenino
32225,Monica Maria Lopez Morales,Marketing,Trade Marketing,2687,1363,164,1230,4214,5444,2025,,Oficina Regional,Part-Time,femenino
